 ceap_07010101             SWAT+ Mar 4 2024        MODULAR Rev 2024.61.0                                  
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor      n_tot          p_tot         dep_bf        velav_bf        
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons       kg_N           kg_P            m/s             m/s        
   365    12    31  2018      37       1  t_1_37               0.8847E-01     0.8045E-01     0.8847E-01     0.3183E+00     0.2569E+00     0.3934E+01     0.0000E+00     0.0000E+00     0.4983E-01     0.0000E+00     0.3727E+01     0.0000E+00     0.5647E+01     0.1242E+01     0.1000E-04     0.0000E+00     0.1002E+01     0.0000E+00     0.7160E+04     0.6510E+04     0.7160E+04     0.1863E-03     0.4537E+01     0.1105E-01     0.1242E+01     0.4310E+01
   365    12    31  2018      38       1  t_1_38               0.4472E-01     0.8784E-02     0.4465E-01     0.4472E-01     0.2289E+02     0.2289E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7825E+01     0.1053E+01     0.3298E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.3974E+02     0.7806E+01     0.3968E+02     0.8266E-01     0.2952E+01     0.1007E+01     0.1053E+01     0.2569E+02
   365    12    31  2018      39       1  m_2_39               0.1121E+01     0.6659E-02     0.1121E+01     0.1121E+01     0.1355E+03     0.2145E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.3921E+02     0.7898E+02     0.0000E+00     0.1040E+02     0.7211E+01     0.2956E-03     0.3161E+00     0.2806E+00     0.0000E+00     0.2045E+03     0.1215E+01     0.2045E+03     0.3724E+00     0.6980E+02     0.3124E+01     0.4352E+01     0.4331E+03
   365    12    31  2018      40       1  t_1_40               0.2456E-02     0.2174E-02     0.2455E-02     0.9429E-02     0.3688E+00     0.3688E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4551E+01     0.1048E+01     0.5555E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.2561E+03     0.2267E+03     0.2560E+03     0.3256E-03     0.3189E+00     0.8904E-02     0.1048E+01     0.1954E+02
   365    12    31  2018      41       1  t_1_41               0.7420E-01     0.1961E-01     0.7419E-01     0.7420E-01     0.9156E+01     0.9156E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.1252E+03     0.0000E+00     0.0000E+00     0.5963E+01     0.1863E+02     0.3904E-02     0.9269E+00     0.0000E+00     0.0000E+00     0.1836E+03     0.4851E+02     0.1835E+03     0.7574E-02     0.6292E+01     0.3396E+00     0.9608E+01     0.5843E+04
   365    12    31  2018      42       1  t_1_42               0.3518E-01     0.3043E-01     0.3513E-01     0.3518E-01     0.6205E+01     0.6205E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.6634E+02     0.0000E+00     0.0000E+00     0.5043E+01     0.1464E+02     0.7640E-02     0.7279E+00     0.0000E+00     0.0000E+00     0.2180E+03     0.1886E+03     0.2177E+03     0.1145E-01     0.4477E+01     0.1498E+00     0.7748E+01     0.4581E+04
   365    12    31  2018      43       1  t_1_43               0.5026E-01     0.7448E-02     0.5026E-01     0.5026E-01     0.3485E+01     0.3485E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6149E+01     0.9215E+00     0.9367E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.1957E+03     0.2900E+02     0.1957E+03     0.1191E-02     0.3027E+01     0.2026E+00     0.9215E+00     0.2729E+02
   365    12    31  2018      44       1  m_2_44               0.6713E+00     0.5177E-01     0.6713E+00     0.6713E+00     0.4197E+03     0.4197E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.5165E+04     0.0000E+00     0.0000E+00     0.7985E+01     0.2470E+03     0.3049E-02     0.1294E+02     0.0000E+00     0.0000E+00     0.2266E+03     0.1748E+02     0.2266E+03     0.1874E+00     0.5062E+02     0.4016E+01     0.1191E+03     0.3029E+07
   365    12    31  2018      45       1  t_2_45               0.7661E-01     0.7000E-02     0.7658E-01     0.7661E-01     0.3910E+02     0.3910E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.1076E+03     0.0000E+00     0.0000E+00     0.6590E+01     0.1621E+02     0.3352E-02     0.7959E+00     0.0000E+00     0.0000E+00     0.7464E+02     0.6820E+01     0.7461E+02     0.3527E-01     0.1152E+02     0.9527E+00     0.8134E+01     0.3954E+04
   365    12    31  2018      46       1  t_1_46               0.4329E-01     0.1780E-01     0.4327E-01     0.4329E-01     0.9399E+01     0.9399E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5892E+01     0.9074E+00     0.1217E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1772E+03     0.7290E+02     0.1772E+03     0.1134E-01     0.5442E+01     0.2268E+00     0.9074E+00     0.2906E+02
